pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 5,22-02-79,CERRADO,N/A,3974,0.1073,0.056,0,309.92,335.22
SITIO GRANDE 5,16-05-79,CERRADO,N/A,3974,0.0954,0.056,0,308.82,333
SITIO GRANDE 5,16-02-82,CERRADO,N/A,3974,0.1003,0.056,0,305.72,326.92
SITIO GRANDE 5,10-04-82,CERRADO,N/A,3941.5,0.0952,0.056,0,325.78,328.22
SITIO GRANDE 5,25-10-82,CERRADO,N/A,3941.5,0.0959,0.056,0,301.12,341.8
SITIO GRANDE 5,07-04-83,CERRADO,N/A,3941.5,0.0951,0.056,0,299.68,350.94
SITIO GRANDE 5,31-08-83,CERRADO,N/A,3941.5,0.0984,0.056,0,304.34,347.7
SITIO GRANDE 5,12-08-83,CERRADO,N/A,3941.5,0.0974,0.056,0,301.34,336.94
SITIO GRANDE 5,03-09-84,CERRADO,N/A,3941.5,0.0966,0.056,0,300.94,346.26
SITIO GRANDE 5,28-04-84,CERRADO,N/A,3941.5,0.1061,0.056,0,319.18,345.56
SITIO GRANDE 5,08-06-84,CERRADO,N/A,3941.5,0.0938,0.056,0,321.68,342.14
SITIO GRANDE 5,11-04-84,CERRADO,N/A,3941.5,0.0942,0.056,0,323.28,337.89
SITIO GRANDE 5,15-01-85,CERRADO,N/A,3941.5,0.0972,0.056,0,301.46,336.69
SITIO GRANDE 5,03-07-85,CERRADO,N/A,3941.5,0.0944,0.056,0,302.56,335.89
SITIO GRANDE 5,05-02-85,CERRADO,N/A,3941.5,0.0944,0.056,0,303.36,332.82
SITIO GRANDE 5,07-12-85,CERRADO,N/A,3941.5,0.0964,0.056,0,304,331.34
SITIO GRANDE 5,26-07-85,CERRADO,N/A,3941.5,0.1003,0.056,0,304.16,334.41
SITIO GRANDE 5,25-08-85,CERRADO,N/A,3941.5,0.0923,0.056,0,303.96,338.11
SITIO GRANDE 5,17-09-85,CERRADO,N/A,3941.5,0.0977,0.056,0,309.4,338.17
SITIO GRANDE 5,11-11-85,CERRADO,N/A,3941.5,0.0961,0.056,0,310.55,332.17
SITIO GRANDE 5,24-01-86,CERRADO,N/A,3941.5,0.0991,0.056,0,503.92,331.21
SITIO GRANDE 5,27-03-86,CERRADO,N/A,3941.5,0.098,0.056,0,293.32,325.63
SITIO GRANDE 5,21-05-86,CERRADO,N/A,3941.5,0.0961,0.056,0,258.98,325.25
SITIO GRANDE 5,07-12-86,CERRADO,N/A,3941.5,0.0932,0.056,0,379.35,338.64
SITIO GRANDE 5,09-02-86,CERRADO,N/A,3941.5,0.095,0.056,0,409.65,326.88
SITIO GRANDE 5,13-11-86,CERRADO,N/A,3941.5,0.0942,0.056,0,360.79,325.2
SITIO GRANDE 5,17-01-87,CERRADO,N/A,3941.5,0.0938,0.056,0,331.29,323.81
SITIO GRANDE 5,29-03-87,CERRADO,N/A,3941.5,0.0896,0.056,0,340.85,326.63
SITIO GRANDE 5,24-05-87,CERRADO,N/A,3941.5,0.0975,0.056,0,340.15,328.51
SITIO GRANDE 5,07-08-87,CERRADO,N/A,3941.5,0.0942,0.056,0,339.25,328.98
SITIO GRANDE 5,09-11-87,CERRADO,N/A,3941.5,0.0967,0.056,0,336.05,331.4
SITIO GRANDE 5,11-07-87,CERRADO,N/A,3941.5,0.0984,0.056,0,339.24,332.2
SITIO GRANDE 5,01-04-88,CERRADO,N/A,3941.5,0.0987,0.056,45.7,294.65,329.55
SITIO GRANDE 5,03-09-88,CERRADO,N/A,3941.5,0.0987,0.056,0,286.75,327.92
SITIO GRANDE 5,26-05-88,CERRADO,N/A,3941.5,0.1135,0.056,106.5,297.42,332.34
SITIO GRANDE 5,07-08-88,CERRADO,N/A,3941.5,0.0943,0.056,102,290.19,336.7
SITIO GRANDE 5,09-03-88,CERRADO,N/A,3941.5,0.0943,0.056,36.86,321.24,338.16
SITIO GRANDE 5,11-05-88,CERRADO,N/A,3620,0.0943,0.056,83.77,313.03,0
SITIO GRANDE 5,19-11-88,CERRADO,N/A,3620,0.0943,0.056,2.87,314.47,326.22
SITIO GRANDE 5,24-11-88,CERRADO,N/A,3620,0.0943,0.056,12.24,316.76,300.8
SITIO GRANDE 6,23-11-73,CERRADO,N/A,3915,0.0943,0.056,31.7,325.57,0
SITIO GRANDE 6,18-04-74,CERRADO,N/A,3915,0.0943,0.056,4.65,257.07,414.02
SITIO GRANDE 6,29-10-74,CERRADO,N/A,3998.5,0.0943,0.056,58.83,351.11,354.82
SITIO GRANDE 6,15-12-74,CERRADO,N/A,3998.5,0.0943,0.056,62.79,347.93,332.08
SITIO GRANDE 6,15-03-75,CERRADO,N/A,3998.5,0.0943,0.056,0,272.91,340.68
SITIO GRANDE 6,04-04-75,CERRADO,N/A,3998.5,0.0943,0.056,0,321.51,339.82
SITIO GRANDE 6,19-08-75,CERRADO,N/A,3998.5,0.0943,0.056,0,335.01,339.83
SITIO GRANDE 6,26-11-75,CERRADO,N/A,3998.5,0.0943,0.056,0,339.31,336.55
SITIO GRANDE 6D,12-02-79,CERRADO,N/A,3896,0.0943,0.056,0,341.41,339.48
SITIO GRANDE 6D,12-10-79,CERRADO,N/A,3896,0.0943,0.056,0,336.15,317.97
SITIO GRANDE 6D,30-11-82,CERRADO,N/A,3896,0.0943,0.056,0,346.45,290.36
SITIO GRANDE 6D,07-12-83,CERRADO,N/A,3896,0.0943,0.056,0,317.19,296.86
SITIO GRANDE 6D,03-02-85,CERRADO,N/A,3916,0.1263,0.056,0,424.98,293.48
SITIO GRANDE 6D,30-03-03,CERRADO,N/A,3916,0.1088,0.056,0,431.68,319.65
SITIO GRANDE 6D,08-06-03,CERRADO,N/A,3916,0.0955,0.056,0,439.88,339.58
SITIO GRANDE 6D,20-03-04,CERRADO,N/A,3916,0.0976,0.056,0,428.68,337.23
SITIO GRANDE 6D,07-01-04,CERRADO,N/A,3916,0.06,0.056,0,440.98,341.9
SITIO GRANDE 6D,03-08-06,CERRADO,"1/8""",3916,0.0617,0.056,0,430.78,349.96
SITIO GRANDE 6D,05-01-06,CERRADO,"1/8""",3916,0.0715,0.056,0,401.38,0
SITIO GRANDE 6D,05-12-08,CERRADO,"1/8""",3880,0.0945,0.056,0,383.88,360.25
SITIO GRANDE 6D,02-12-09,CERRADO,N/A,3871.5,0.0963,0.056,0,375.78,357.18
SITIO GRANDE 7,31-12-74,CERRADO,N/A,4034.5,0.1051,0.056,0,369.98,0
SITIO GRANDE 7,04-05-75,CERRADO,N/A,4034.5,0.1025,0.056,0,364.08,322.35
SITIO GRANDE 7,30-06-75,CERRADO,N/A,4034.5,0.094,0.056,0,357.99,342.4
SITIO GRANDE 7,30-08-75,CERRADO,N/A,4034.5,0.0942,0.056,0,358.31,347.88
SITIO GRANDE 7,10-01-75,CERRADO,N/A,4034.5,0.098,0.056,0,362.91,348.8
SITIO GRANDE 7,16-12-75,CERRADO,N/A,4034.5,0.095,0.056,0,365.77,351.8
SITIO GRANDE 7,20-08-78,CERRADO,N/A,4019,0.099,0.056,0,374.87,0
SITIO GRANDE 7,26-05-80,CERRADO,N/A,4019,0.0953,0.056,0,390.17,326.54
SITIO GRANDE 7,27-06-83,CERRADO,N/A,4019,0.1043,0.056,0,389.07,0
SITIO GRANDE 7,20-06-83,CERRADO,N/A,4019,0.0985,0.056,0,400.07,0
SITIO GRANDE 7,31-08-83,CERRADO,N/A,4019,0.0965,0.056,0,402.87,0
SITIO GRANDE 7,12-09-83,CERRADO,N/A,4019,0.5015,0.056,0,408.57,0
SITIO GRANDE 7,03-12-84,CERRADO,N/A,4019,0.1076,0.056,0,419.17,0
SITIO GRANDE 7,28-04-84,CERRADO,N/A,4019,0.0981,0.056,0,424.03,0
SITIO GRANDE 7,08-05-84,CERRADO,N/A,4019,0.099,0.056,0,424.23,0
SITIO GRANDE 7,11-04-84,CERRADO,N/A,4019,0.124,0.056,0,429.63,0
SITIO GRANDE 7,16-01-85,CERRADO,N/A,4019,0.0999,0.056,0,424.99,0
SITIO GRANDE 7,03-07-85,CERRADO,N/A,4019,0.0961,0.056,0,426.49,369.74
SITIO GRANDE 7,05-09-85,CERRADO,N/A,4019,0.1086,0.056,0,431.59,364.02
SITIO GRANDE 7,16-07-85,CERRADO,N/A,4019,0.1022,0.056,0,432.35,356.75
SITIO GRANDE 7,26-07-85,CERRADO,N/A,4019,0.1002,0.056,0,434.15,358.32
SITIO GRANDE 7,24-08-85,CERRADO,N/A,4019,0.0991,0.056,0,436.88,0
SITIO GRANDE 7,19-09-85,CERRADO,N/A,4019,0.0999,0.056,0,436.27,365.59
SITIO GRANDE 7,11-05-85,CERRADO,N/A,4019,0.0936,0.056,0,441.43,373.73
SITIO GRANDE 7,25-01-86,CERRADO,N/A,4019,0.0993,0.056,0,455.55,0
SITIO GRANDE 7,28-03-86,CERRADO,N/A,4019,0.0989,0.056,0,440.75,0
SITIO GRANDE 7,21-05-86,CERRADO,N/A,4019,0.0989,0.056,0,435.15,0
SITIO GRANDE 7,07-12-86,CERRADO,N/A,4019,0.1025,0.056,0,430.35,0
SITIO GRANDE 7,09-03-86,CERRADO,N/A,4019,0.0974,0.056,0,433.25,0
SITIO GRANDE 7,13-11-86,CERRADO,N/A,4019,0.1011,0.056,0,437.75,0
SITIO GRANDE 7,17-01-87,CERRADO,N/A,4019,0.063,0.056,0,440.65,0
SITIO GRANDE 7,30-03-87,CERRADO,N/A,4019,0.0669,0.056,0,440.25,0
SITIO GRANDE 7,26-05-87,CERRADO,N/A,4019,0.0945,0.056,0,441.05,0
SITIO GRANDE 7,07-12-87,CERRADO,N/A,4019,0.0658,0.056,0,437.85,0
SITIO GRANDE 7,09-11-87,CERRADO,N/A,4019,0.0593,0.056,0,431.95,0
SITIO GRANDE 7,11-08-87,CERRADO,N/A,4019,0.0576,0.056,0,432.05,0
SITIO GRANDE 7,01-05-88,CERRADO,N/A,4019,0.0472,0.056,0,424.35,0
SITIO GRANDE 7,24-05-88,CERRADO,N/A,4019,0.0505,0.056,0,434.45,0
SITIO GRANDE 7,07-10-88,CERRADO,N/A,4019,0.0401,0.056,0,434.15,0
SITIO GRANDE 7,09-05-88,CERRADO,N/A,4019,0.0443,0.056,0,436.15,0
SITIO GRANDE 7,25-11-88,CERRADO,N/A,4019,0.06,0.056,0,437.55,0
SITIO GRANDE 7,02-11-89,CERRADO,N/A,4019,0.065,0.056,114.73,435.71,0
SITIO GRANDE 7,18-05-89,CERRADO,N/A,4019,0.0616,0.056,110.22,419.93,0
SITIO GRANDE 7,13-08-89,CERRADO,N/A,4019,0.1028,0.056,113.88,410.23,0
SITIO GRANDE 7,12-05-89,CERRADO,N/A,4019,0.0936,0.056,14.47,394.87,0
SITIO GRANDE 7,18-02-90,CERRADO,N/A,4019,0.0891,0.056,22.54,398.38,0
SITIO GRANDE 7,05-07-90,CERRADO,N/A,4019,0.058,0.056,37.74,382.81,0
SITIO GRANDE 7,16-08-90,CERRADO,N/A,4019,0.052,0.056,78.07,385.6,0
SITIO GRANDE 7,13-12-90,CERRADO,N/A,4019,0.0561,0.056,30.58,413.38,0
SITIO GRANDE 7,01-11-91,CERRADO,N/A,4019,0.0637,0.056,32.23,416.52,0
SITIO GRANDE 7,04-11-91,CERRADO,N/A,4019,0.101,0.056,0,267.52,0
SITIO GRANDE 7,07-08-91,CERRADO,N/A,4019,0.0974,0.056,0,177.12,0
SITIO GRANDE 7,11-09-91,CERRADO,N/A,4019,0.1019,0.056,0,188.3,0
SITIO GRANDE 7,16-12-91,CERRADO,N/A,4019,0.1,0.056,0,222.95,0
SITIO GRANDE 7,01-10-92,CERRADO,N/A,4019,0.069,0.056,0,286.21,0
SITIO GRANDE 7,14-06-92,CERRADO,N/A,4019,0.0639,0.056,0,285.21,0
SITIO GRANDE 7,22-07-92,CERRADO,N/A,4019,0.0648,0.056,0,278.28,0
SITIO GRANDE 7,15-12-92,CERRADO,N/A,4019,0.0842,0.056,0,224.57,0
SITIO GRANDE 7,24-07-93,CERRADO,N/A,4019,0.076,0.056,0,270.76,0
SITIO GRANDE 7,15-09-93,CERRADO,N/A,4019,0.0653,0.056,0,303.29,0
SITIO GRANDE 7,18-10-93,CERRADO,N/A,4019,0.0935,0.056,8.96,319.37,0
SITIO GRANDE 7,18-01-94,CERRADO,N/A,4019,0.0732,0.056,74.5,201.28,0
SITIO GRANDE 7,27-01-94,CERRADO,N/A,4019,0.1018,0.056,62.7,368,0
