pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 4,1973-05-06,CERRADO,N/A,4537.0,0.1003,0.056,0.0,331.03,422.1
SITIO GRANDE 4,1973-06-06,CERRADO,N/A,4537.0,0.1016,0.056,0.0,330.23,429.4
SITIO GRANDE 4,1973-06-16,CERRADO,N/A,4434.0,0.0925,0.056,0.0,305.76,438.02
SITIO GRANDE 5,1973-11-18,CERRADO,N/A,3974.0,0.0934,0.056,0.0,304.12,421.81
SITIO GRANDE 5,1974-10-02,CERRADO,N/A,3974.0,0.105,0.056,0.0,306.22,412.11
SITIO GRANDE 5,1979-02-22,CERRADO,N/A,3974.0,0.1073,0.056,0.0,309.92,335.22
SITIO GRANDE 5,1979-05-16,CERRADO,N/A,3974.0,0.0954,0.056,0.0,308.82,333.0
SITIO GRANDE 5,1982-02-16,CERRADO,N/A,3974.0,0.1003,0.056,0.0,305.72,326.92
SITIO GRANDE 5,1982-04-10,CERRADO,N/A,3941.5,0.0952,0.056,0.0,325.78,328.22
SITIO GRANDE 5,1982-10-25,CERRADO,N/A,3941.5,0.0959,0.056,0.0,301.12,341.8
SITIO GRANDE 5,1983-04-07,CERRADO,N/A,3941.5,0.0951,0.056,0.0,299.68,350.94
SITIO GRANDE 5,1983-08-31,CERRADO,N/A,3941.5,0.0984,0.056,0.0,304.34,347.7
SITIO GRANDE 5,1983-08-12,CERRADO,N/A,3941.5,0.0974,0.056,0.0,301.34,336.94
SITIO GRANDE 5,1984-09-03,CERRADO,N/A,3941.5,0.0966,0.056,0.0,300.94,346.26
SITIO GRANDE 5,1984-04-28,CERRADO,N/A,3941.5,0.1061,0.056,0.0,319.18,345.56
SITIO GRANDE 5,1984-06-08,CERRADO,N/A,3941.5,0.0938,0.056,0.0,321.68,342.14
SITIO GRANDE 5,1984-04-11,CERRADO,N/A,3941.5,0.0942,0.056,0.0,323.28,337.89
SITIO GRANDE 5,1985-01-15,CERRADO,N/A,3941.5,0.0972,0.056,0.0,301.46,336.69
SITIO GRANDE 5,1985-07-03,CERRADO,N/A,3941.5,0.0944,0.056,0.0,302.56,335.89
SITIO GRANDE 5,1985-02-05,CERRADO,N/A,3941.5,0.0944,0.056,0.0,303.36,332.82
SITIO GRANDE 5,1985-12-07,CERRADO,N/A,3941.5,0.0964,0.056,0.0,304.0,331.34
SITIO GRANDE 5,1985-07-26,CERRADO,N/A,3941.5,0.1003,0.056,0.0,304.16,334.41
SITIO GRANDE 5,1985-08-25,CERRADO,N/A,3941.5,0.0923,0.056,0.0,303.96,338.11
SITIO GRANDE 5,1985-09-17,CERRADO,N/A,3941.5,0.0977,0.056,0.0,309.4,338.17
SITIO GRANDE 5,1985-11-11,CERRADO,N/A,3941.5,0.0961,0.056,0.0,310.55,332.17
SITIO GRANDE 5,1986-01-24,CERRADO,N/A,3941.5,0.0991,0.056,0.0,503.92,331.21
SITIO GRANDE 5,1986-03-27,CERRADO,N/A,3941.5,0.098,0.056,0.0,293.32,325.63
SITIO GRANDE 5,1986-05-21,CERRADO,N/A,3941.5,0.0961,0.056,0.0,258.98,325.25
SITIO GRANDE 5,1986-12-07,CERRADO,N/A,3941.5,0.0932,0.056,0.0,379.35,338.64
SITIO GRANDE 5,1986-02-09,CERRADO,N/A,3941.5,0.095,0.056,0.0,409.65,326.88
SITIO GRANDE 5,1986-11-13,CERRADO,N/A,3941.5,0.0942,0.056,0.0,360.79,325.2
SITIO GRANDE 5,1987-01-17,CERRADO,N/A,3941.5,0.0938,0.056,0.0,331.29,323.81
SITIO GRANDE 5,1987-03-29,CERRADO,N/A,3941.5,0.0896,0.056,0.0,340.85,326.63
SITIO GRANDE 5,1987-05-24,CERRADO,N/A,3941.5,0.0975,0.056,0.0,340.15,328.51
SITIO GRANDE 5,1987-08-07,CERRADO,N/A,3941.5,0.0942,0.056,0.0,339.25,328.98
SITIO GRANDE 5,1987-11-09,CERRADO,N/A,3941.5,0.0967,0.056,0.0,336.05,331.4
SITIO GRANDE 5,1987-07-11,CERRADO,N/A,3941.5,0.0984,0.056,0.0,339.24,332.2
SITIO GRANDE 5,1988-04-01,CERRADO,N/A,3941.5,0.0987,0.056,45.7,294.65,329.55
SITIO GRANDE 5,1988-09-03,CERRADO,N/A,3941.5,0.0987,0.056,0.0,286.75,327.92
SITIO GRANDE 5,1988-05-26,CERRADO,N/A,3941.5,0.1135,0.056,106.5,297.42,332.34
SITIO GRANDE 5,1988-08-07,CERRADO,N/A,3941.5,0.0943,0.056,102.0,290.19,336.7
SITIO GRANDE 5,1988-03-09,CERRADO,N/A,3941.5,0.0943,0.056,36.86,321.24,338.16
SITIO GRANDE 5,1988-05-11,CERRADO,N/A,3620.0,0.0943,0.056,83.77,313.03,0.0
SITIO GRANDE 5,1988-11-19,CERRADO,N/A,3620.0,0.0943,0.056,2.87,314.47,326.22
SITIO GRANDE 5,1988-11-24,CERRADO,N/A,3620.0,0.0943,0.056,12.24,316.76,300.8
SITIO GRANDE 6,1973-11-23,CERRADO,N/A,3915.0,0.0943,0.056,31.7,325.57,0.0
SITIO GRANDE 6,1974-04-18,CERRADO,N/A,3915.0,0.0943,0.056,4.65,257.07,414.02
SITIO GRANDE 6,1974-10-29,CERRADO,N/A,3998.5,0.0943,0.056,58.83,351.11,354.82
SITIO GRANDE 6,1974-12-15,CERRADO,N/A,3998.5,0.0943,0.056,62.79,347.93,332.08
SITIO GRANDE 6,1975-03-15,CERRADO,N/A,3998.5,0.0943,0.056,0.0,272.91,340.68
SITIO GRANDE 6,1975-04-04,CERRADO,N/A,3998.5,0.0943,0.056,0.0,321.51,339.82
SITIO GRANDE 6,1975-08-19,CERRADO,N/A,3998.5,0.0943,0.056,0.0,335.01,339.83
SITIO GRANDE 6,1975-11-26,CERRADO,N/A,3998.5,0.0943,0.056,0.0,339.31,336.55
SITIO GRANDE 6D,1979-02-12,CERRADO,N/A,3896.0,0.0943,0.056,0.0,341.41,339.48
SITIO GRANDE 6D,1979-10-12,CERRADO,N/A,3896.0,0.0943,0.056,0.0,336.15,317.97
SITIO GRANDE 6D,1982-11-30,CERRADO,N/A,3896.0,0.0943,0.056,0.0,346.45,290.36
SITIO GRANDE 6D,1983-12-07,CERRADO,N/A,3896.0,0.0943,0.056,0.0,317.19,296.86
SITIO GRANDE 6D,1985-02-03,CERRADO,N/A,3916.0,0.1263,0.056,0.0,424.98,293.48
SITIO GRANDE 6D,2003-03-30,CERRADO,N/A,3916.0,0.1088,0.056,0.0,431.68,319.65
SITIO GRANDE 6D,2003-06-08,CERRADO,N/A,3916.0,0.0955,0.056,0.0,439.88,339.58
SITIO GRANDE 6D,2004-03-20,CERRADO,N/A,3916.0,0.0976,0.056,0.0,428.68,337.23
SITIO GRANDE 6D,2004-01-07,CERRADO,N/A,3916.0,0.06,0.056,0.0,440.98,341.9
SITIO GRANDE 6D,2006-08-03,CERRADO,"1/8""",3916.0,0.0617,0.056,0.0,430.78,349.96
SITIO GRANDE 6D,2006-01-05,CERRADO,"1/8""",3916.0,0.0715,0.056,0.0,401.38,0.0
SITIO GRANDE 6D,2008-12-05,CERRADO,"1/8""",3880.0,0.0945,0.056,0.0,383.88,360.25
SITIO GRANDE 6D,2009-12-02,CERRADO,N/A,3871.5,0.0963,0.056,0.0,375.78,357.18
SITIO GRANDE 7,1974-12-31,CERRADO,N/A,4034.5,0.1051,0.056,0.0,369.98,0.0
SITIO GRANDE 7,1975-05-04,CERRADO,N/A,4034.5,0.1025,0.056,0.0,364.08,322.35
SITIO GRANDE 7,1975-06-30,CERRADO,N/A,4034.5,0.094,0.056,0.0,357.99,342.4
SITIO GRANDE 7,1975-08-30,CERRADO,N/A,4034.5,0.0942,0.056,0.0,358.31,347.88
SITIO GRANDE 7,1975-01-10,CERRADO,N/A,4034.5,0.098,0.056,0.0,362.91,348.8
SITIO GRANDE 7,1975-12-16,CERRADO,N/A,4034.5,0.095,0.056,0.0,365.77,351.8
SITIO GRANDE 7,1978-08-20,CERRADO,N/A,4019.0,0.099,0.056,0.0,374.87,0.0
SITIO GRANDE 7,1980-05-26,CERRADO,N/A,4019.0,0.0953,0.056,0.0,390.17,326.54
SITIO GRANDE 7,1983-06-27,CERRADO,N/A,4019.0,0.1043,0.056,0.0,389.07,0.0
SITIO GRANDE 7,1983-06-20,CERRADO,N/A,4019.0,0.0985,0.056,0.0,400.07,0.0
SITIO GRANDE 7,1983-08-31,CERRADO,N/A,4019.0,0.0965,0.056,0.0,402.87,0.0
SITIO GRANDE 7,1983-09-12,CERRADO,N/A,4019.0,0.5015,0.056,0.0,408.57,0.0
SITIO GRANDE 7,1984-12-03,CERRADO,N/A,4019.0,0.1076,0.056,0.0,419.17,0.0
SITIO GRANDE 7,1984-04-28,CERRADO,N/A,4019.0,0.0981,0.056,0.0,424.03,0.0
SITIO GRANDE 7,1984-05-08,CERRADO,N/A,4019.0,0.099,0.056,0.0,424.23,0.0
SITIO GRANDE 7,1984-04-11,CERRADO,N/A,4019.0,0.124,0.056,0.0,429.63,0.0
SITIO GRANDE 7,1985-01-16,CERRADO,N/A,4019.0,0.0999,0.056,0.0,424.99,0.0
SITIO GRANDE 7,1985-07-03,CERRADO,N/A,4019.0,0.0961,0.056,0.0,426.49,369.74
SITIO GRANDE 7,1985-09-05,CERRADO,N/A,4019.0,0.1086,0.056,0.0,431.59,364.02
SITIO GRANDE 7,1985-07-16,CERRADO,N/A,4019.0,0.1022,0.056,0.0,432.35,356.75
SITIO GRANDE 7,1985-07-26,CERRADO,N/A,4019.0,0.1002,0.056,0.0,434.15,358.32
SITIO GRANDE 7,1985-08-24,CERRADO,N/A,4019.0,0.0991,0.056,0.0,436.88,0.0
SITIO GRANDE 7,1985-09-19,CERRADO,N/A,4019.0,0.0999,0.056,0.0,436.27,365.59
SITIO GRANDE 7,1985-05-11,CERRADO,N/A,4019.0,0.0936,0.056,0.0,441.43,373.73
SITIO GRANDE 7,1986-01-25,CERRADO,N/A,4019.0,0.0993,0.056,0.0,455.55,0.0
SITIO GRANDE 7,1986-03-28,CERRADO,N/A,4019.0,0.0989,0.056,0.0,440.75,0.0
SITIO GRANDE 7,1986-05-21,CERRADO,N/A,4019.0,0.0989,0.056,0.0,435.15,0.0
SITIO GRANDE 7,1986-12-07,CERRADO,N/A,4019.0,0.1025,0.056,0.0,430.35,0.0
SITIO GRANDE 7,1986-03-09,CERRADO,N/A,4019.0,0.0974,0.056,0.0,433.25,0.0
SITIO GRANDE 7,1986-11-13,CERRADO,N/A,4019.0,0.1011,0.056,0.0,437.75,0.0
SITIO GRANDE 7,1987-01-17,CERRADO,N/A,4019.0,0.063,0.056,0.0,440.65,0.0
SITIO GRANDE 7,1987-03-30,CERRADO,N/A,4019.0,0.0669,0.056,0.0,440.25,0.0
SITIO GRANDE 7,1987-05-26,CERRADO,N/A,4019.0,0.0945,0.056,0.0,441.05,0.0
SITIO GRANDE 7,1987-12-07,CERRADO,N/A,4019.0,0.0658,0.056,0.0,437.85,0.0
SITIO GRANDE 7,1987-11-09,CERRADO,N/A,4019.0,0.0593,0.056,0.0,431.95,0.0
SITIO GRANDE 7,1987-08-11,CERRADO,N/A,4019.0,0.0576,0.056,0.0,432.05,0.0
SITIO GRANDE 7,1988-05-01,CERRADO,N/A,4019.0,0.0472,0.056,0.0,424.35,0.0
SITIO GRANDE 7,1988-05-24,CERRADO,N/A,4019.0,0.0505,0.056,0.0,434.45,0.0
SITIO GRANDE 7,1988-10-07,CERRADO,N/A,4019.0,0.0401,0.056,0.0,434.15,0.0
SITIO GRANDE 7,1988-05-09,CERRADO,N/A,4019.0,0.0443,0.056,0.0,436.15,0.0
SITIO GRANDE 7,1988-11-25,CERRADO,N/A,4019.0,0.06,0.056,0.0,437.55,0.0
SITIO GRANDE 7,1989-11-02,CERRADO,N/A,4019.0,0.065,0.056,114.73,435.71,0.0
SITIO GRANDE 7,1989-05-18,CERRADO,N/A,4019.0,0.0616,0.056,110.22,419.93,0.0
