TERMINACION,FECHA,CAMPO,TIPO DE REGISTRO,CERRADO(YAC),CERRADO(POZO),FLUYENDO(YAC),FLUYENDO(POZO)
SITIO GRANDE 1,14/03/1972,SITIO GRANDE,CERRADO,449.6,449.6,,
SITIO GRANDE 1,18/03/1972,SITIO GRANDE,CERRADO,449,449,,
SITIO GRANDE 1,02/05/1972,SITIO GRANDE,CERRADO,455.704,456.1,,
SITIO GRANDE 1,26/05/1972,SITIO GRANDE,FLUYENTE,,,446.716,458.2
SITIO GRANDE 1,28/05/1972,SITIO GRANDE,CERRADO,446.716,447.2,,
SITIO GRANDE 1,04/06/1972,SITIO GRANDE,FLUYENTE,,,451.604,451.64
SITIO GRANDE 1,13/06/1972,SITIO GRANDE,CERRADO,442.916,442.916,,
SITIO GRANDE 1,31/08/1972,SITIO GRANDE,FLUYENTE,,,443.416,443.4963
SITIO GRANDE 1,23/11/1972,SITIO GRANDE,CERRADO,336.004,336.022,,
SITIO GRANDE 1,10/04/1974,SITIO GRANDE,CERRADO,385.404,385.37,,
SITIO GRANDE 1,18/12/1974,SITIO GRANDE,FLUYENTE,,,355.604,355.4
SITIO GRANDE 1,05/04/1975,SITIO GRANDE,CERRADO,335.104,334.968,,
SITIO GRANDE 1,31/07/1975,SITIO GRANDE,FLUYENTE,,,353.604,353.706
SITIO GRANDE 1,01/08/1975,SITIO GRANDE,CERRADO,355.604,355.774,,
SITIO GRANDE 1,27/11/1975,SITIO GRANDE,FLUYENTE,,,355.104,355.274
SITIO GRANDE 1,24/07/1976,SITIO GRANDE,CERRADO,408.704,453.74,,
SITIO GRANDE 1,19/05/1978,SITIO GRANDE,FLUYENTE,,,,
SITIO GRANDE 1,12/07/1984,SITIO GRANDE,CERRADO,393.504,407.198,,
SITIO GRANDE 1,03/08/1984,SITIO GRANDE,FLUYENTE,,,399.324,401.16
SITIO GRANDE 1,14/08/1984,SITIO GRANDE,CERRADO,385.864,387.492,,
SITIO GRANDE 1,14/01/1985,SITIO GRANDE,FLUYENTE,,,374.684,377.116
SITIO GRANDE 1,08/03/1985,SITIO GRANDE,CERRADO,371.884,374.508,,
SITIO GRANDE 1,08/05/1985,SITIO GRANDE,FLUYENTE,,,372.604,376.048
SITIO GRANDE 1,11/07/1985,SITIO GRANDE,CERRADO,363.704,367.064,,
SITIO GRANDE 1,29/09/1985,SITIO GRANDE,FLUYENTE,,,434.704,438.568
SITIO GRANDE 1,07/06/1986,SITIO GRANDE,FLUYENTE,,,457.504,463.3598
SITIO GRANDE 1,18/10/1993,SITIO GRANDE,CERRADO,398.254,412.2554,,
SITIO GRANDE 1,21/12/1993,SITIO GRANDE,CERRADO,389.024,392.909,,
SITIO GRANDE 1,27/01/1994,SITIO GRANDE,CERRADO,371.644,374.8926,,
SITIO GRANDE 1,08/03/1994,SITIO GRANDE,CERRADO,379.504,383.3964,,
SITIO GRANDE 1,21/03/1997,SITIO GRANDE,CERRADO,375.164,379.0532,,
SITIO GRANDE 1,03/06/1997,SITIO GRANDE,CERRADO,369.034,373.2424,,
SITIO GRANDE 1,16/10/1997,SITIO GRANDE,CERRADO,364.434,367.394,,
SITIO GRANDE 1,24/12/1997,SITIO GRANDE,CERRADO,351.434,362.794,,
SITIO GRANDE 1,16/01/1998,SITIO GRANDE,CERRADO,353.964,366.7724,,
SITIO GRANDE 1,05/05/1998,SITIO GRANDE,CERRADO,336.966,337.0018,,
SITIO GRANDE 1,15/09/1998,SITIO GRANDE,CERRADO,354.244,367.0524,,
SITIO GRANDE 1,05/12/1998,SITIO GRANDE,CERRADO,352.864,365.4469,,
SITIO GRANDE 1,01/03/1999,SITIO GRANDE,CERRADO,352.424,364.3931,,
SITIO GRANDE 1,19/11/1999,SITIO GRANDE,CERRADO,347.914,360.19,,
SITIO GRANDE 1,03/03/2000,SITIO GRANDE,CERRADO,353.884,366.6622,,
SITIO GRANDE 1,03/07/2000,SITIO GRANDE,CERRADO,348.514,360.433,,
SITIO GRANDE 1,05/03/2001,SITIO GRANDE,CERRADO,347.494,359.5924,,
SITIO GRANDE 1,09/11/2001,SITIO GRANDE,CERRADO,349.944,358.0818,,
SITIO GRANDE 1,09/06/2002,SITIO GRANDE,CERRADO,348.244,359.3136,,
SITIO GRANDE 1,01/10/2002,SITIO GRANDE,CERRADO,350.164,359.48,,
SITIO GRANDE 1,29/11/2002,SITIO GRANDE,CERRADO,349.084,361.3592,,
SITIO GRANDE 1,13/02/2003,SITIO GRANDE,CERRADO,348.774,362.2274,,
SITIO GRANDE 1,08/06/2003,SITIO GRANDE,CERRADO,344.834,360.6712,,
SITIO GRANDE 1,21/10/2003,SITIO GRANDE,CERRADO,350.654,367.231,,
SITIO GRANDE 1,07/05/2004,SITIO GRANDE,CERRADO,376.994,389.4284,,
SITIO GRANDE 1,07/03/2005,SITIO GRANDE,CERRADO,413.764,418.9766,,
SITIO GRANDE 1,12/08/2005,SITIO GRANDE,CERRADO,417.354,421.1424,,
SITIO GRANDE 1,11/05/2007,SITIO GRANDE,CERRADO,408.566,419.8644,,
SITIO GRANDE 1,02/06/2007,SITIO GRANDE,CERRADO,408.736,420.4477,,
SITIO GRANDE 1,09/08/2007,SITIO GRANDE,CERRADO,406.066,417.80305,,
SITIO GRANDE 2,12/03/1973,SITIO GRANDE,CERRADO,404.32,405.85725,,
SITIO GRANDE 2,26/03/1973,SITIO GRANDE,CERRADO,370.22,370.87,,
SITIO GRANDE 4,15/03/1973,SITIO GRANDE,CERRADO,493.5,500.025,,
SITIO GRANDE 4,05/04/1973,SITIO GRANDE,CERRADO,328.28,336.27,,
SITIO GRANDE 4,05/06/1973,SITIO GRANDE,CERRADO,470.632,481.51,,
SITIO GRANDE 4,06/06/1973,SITIO GRANDE,CERRADO,477.932,488.81,,
SITIO GRANDE 4,16/06/1973,SITIO GRANDE,CERRADO,474.344,475.544,,
SITIO GRANDE 5,18/11/1973,SITIO GRANDE,CERRADO,417.284,416.0996,,
SITIO GRANDE 5,10/02/1974,SITIO GRANDE,CERRADO,407.584,406.3996,,
SITIO GRANDE 5,25/08/1973,SITIO GRANDE,FLUYENTE,,,354.884,354.2636
SITIO GRANDE 5,29/10/1973,SITIO GRANDE,FLUYENTE,,,284.284,283.0996
SITIO GRANDE 5,10/12/1973,SITIO GRANDE,FLUYENTE,,,327.684,329.376
SITIO GRANDE 5,05/02/1974,SITIO GRANDE,FLUYENTE,,,256.484,257.048
SITIO GRANDE 5,15/02/1974,SITIO GRANDE,FLUYENTE,,,270.184,269.7892
SITIO GRANDE 5,21/02/1974,SITIO GRANDE,FLUYENTE,,,264.484,263.4124
SITIO GRANDE 5,22/02/1979,SITIO GRANDE,CERRADO,324.3,324.3,,
SITIO GRANDE 5,16/05/1979,SITIO GRANDE,CERRADO,295.564,322.294,,
SITIO GRANDE 5,16/02/1982,SITIO GRANDE,CERRADO,318.644,320.666,,
SITIO GRANDE 5,21/09/1982,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 5,27/09/1982,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 5,04/10/1982,SITIO GRANDE,CERRADO,315.772,315.755,,
SITIO GRANDE 5,25/10/1982,SITIO GRANDE,CERRADO,328.584,328.6425,,
SITIO GRANDE 5,04/07/1983,SITIO GRANDE,CERRADO,314.804,337.2285,,
SITIO GRANDE 5,31/08/1983,SITIO GRANDE,CERRADO,313.424,334.5425,,
SITIO GRANDE 5,08/12/1983,SITIO GRANDE,CERRADO,304.024,324.0595,,
SITIO GRANDE 5,26/01/1984,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 5,09/03/1984,SITIO GRANDE,CERRADO,310.624,332.8255,,
SITIO GRANDE 5,28/04/1984,SITIO GRANDE,CERRADO,309.924,332.1255,,
SITIO GRANDE 5,06/08/1984,SITIO GRANDE,CERRADO,305.824,328.567,,
SITIO GRANDE 5,04/11/1984,SITIO GRANDE,CERRADO,324.472,324.4515,,
SITIO GRANDE 5,15/01/1985,SITIO GRANDE,CERRADO,323.272,323.2515,,
SITIO GRANDE 5,07/03/1985,SITIO GRANDE,CERRADO,322.472,322.4515,,
SITIO GRANDE 5,02/05/1985,SITIO GRANDE,CERRADO,298.004,319.3855,,
SITIO GRANDE 5,12/07/1985,SITIO GRANDE,CERRADO,296.364,317.7383,,
SITIO GRANDE 5,26/07/1985,SITIO GRANDE,CERRADO,298.464,320.59805,,
SITIO GRANDE 5,25/08/1985,SITIO GRANDE,CERRADO,302.164,324.29805,,
SITIO GRANDE 5,17/09/1985,SITIO GRANDE,CERRADO,301.064,324.10975,,
SITIO GRANDE 5,11/11/1985,SITIO GRANDE,CERRADO,297.964,318.7305,,
SITIO GRANDE 5,24/01/1986,SITIO GRANDE,CERRADO,318.028,318.0475,,
SITIO GRANDE 5,27/03/1986,SITIO GRANDE,CERRADO,293.364,312.611,,
SITIO GRANDE 5,21/05/1986,SITIO GRANDE,CERRADO,291.924,312.2844,,
SITIO GRANDE 5,12/07/1986,SITIO GRANDE,CERRADO,296.584,323.4644,,
SITIO GRANDE 5,02/09/1986,SITIO GRANDE,CERRADO,293.584,313.59385,,
SITIO GRANDE 5,13/11/1986,SITIO GRANDE,CERRADO,293.184,312.19085,,
SITIO GRANDE 5,17/01/1987,SITIO GRANDE,CERRADO,311.428,311.44465,,
SITIO GRANDE 5,29/03/1987,SITIO GRANDE,CERRADO,313.928,313.9458,,
SITIO GRANDE 5,24/05/1987,SITIO GRANDE,CERRADO,315.528,315.5468,,
SITIO GRANDE 5,08/07/1987,SITIO GRANDE,CERRADO,293.704,315.45055,,
SITIO GRANDE 5,11/09/1987,SITIO GRANDE,CERRADO,294.804,317.59355,,
SITIO GRANDE 5,07/11/1987,SITIO GRANDE,CERRADO,295.604,318.39355,,
SITIO GRANDE 5,04/01/1988,SITIO GRANDE,CERRADO,296.244,316.34595,,
SITIO GRANDE 5,09/03/1988,SITIO GRANDE,CERRADO,296.404,315.178,,
SITIO GRANDE 5,26/05/1988,SITIO GRANDE,CERRADO,296.204,318.6285,,
SITIO GRANDE 5,08/07/1988,SITIO GRANDE,CERRADO,301.644,323.127,,
SITIO GRANDE 5,03/09/1988,SITIO GRANDE,CERRADO,302.796,324.4465,,
SITIO GRANDE 5,28/09/1988,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 5,05/11/1988,SITIO GRANDE,CERRADO,478.16,477.35,,
SITIO GRANDE 5,19/11/1988,SITIO GRANDE,CERRADO,267.56,277.871,,
SITIO GRANDE 5,24/11/1988,SITIO GRANDE,CERRADO,233.22,246.75,,
SITIO GRANDE 6,01/08/1973,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6,23/11/1973,SITIO GRANDE,CERRADO,369.94,393.3,,
SITIO GRANDE 6,18/04/1974,SITIO GRANDE,CERRADO,400.24,401.08,,
SITIO GRANDE 6,15/06/1974,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6,29/10/1974,SITIO GRANDE,CERRADO,356.056,351.3535,,
SITIO GRANDE 6,15/12/1974,SITIO GRANDE,CERRADO,326.556,327.183,,
SITIO GRANDE 6,15/03/1975,SITIO GRANDE,CERRADO,336.116,336.119,,
SITIO GRANDE 6,04/04/1975,SITIO GRANDE,CERRADO,335.416,335.422,,
SITIO GRANDE 6,19/08/1975,SITIO GRANDE,CERRADO,334.516,334.5055,,
SITIO GRANDE 6,26/11/1975,SITIO GRANDE,CERRADO,331.316,331.307,,
SITIO GRANDE 6,27/04/1978,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6,01/05/2006,SITIO GRANDE,CERRADO,,,,
SITIO GRANDE 6D,01/12/1979,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6D,02/12/1979,SITIO GRANDE,CERRADO,328.764,321.3068,,
SITIO GRANDE 6D,10/12/1979,SITIO GRANDE,CERRADO,284.176,300.016,,
SITIO GRANDE 6D,28/02/1981,SITIO GRANDE,FLUYENTE,,,172.976,167.1152
SITIO GRANDE 6D,25/10/1982,SITIO GRANDE,FLUYENTE,,,83.744,80.4671
SITIO GRANDE 6D,30/11/1982,SITIO GRANDE,CERRADO,276.276,278.7312,,
SITIO GRANDE 6D,07/07/1983,SITIO GRANDE,FLUYENTE,,,159.444,157.0383
SITIO GRANDE 6D,12/07/1983,SITIO GRANDE,CERRADO,286.944,286.947,,
SITIO GRANDE 6D,17/07/1983,SITIO GRANDE,FLUYENTE,,,156.944,156.9683
SITIO GRANDE 6D,26/09/1983,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6D,12/09/1983,SITIO GRANDE,FLUYENTE,,,160.464,158.5124
SITIO GRANDE 6D,12/11/1983,SITIO GRANDE,FLUYENTE,,,162.064,160.1362
SITIO GRANDE 6D,10/03/1984,SITIO GRANDE,FLUYENTE,,,161.164,159.1648
SITIO GRANDE 6D,28/04/1984,SITIO GRANDE,FLUYENTE,,,157.064,156.7372
SITIO GRANDE 6D,02/03/1985,SITIO GRANDE,CERRADO,280.836,283.122,,
SITIO GRANDE 6D,06/04/1987,SITIO GRANDE,FLUYENTE,,,104.016,90.892
SITIO GRANDE 6D,22/04/1988,SITIO GRANDE,FLUYENTE,,,130.12,129.496
SITIO GRANDE 6D,14/01/1989,SITIO GRANDE,FLUYENTE,,,132.696,130.492
SITIO GRANDE 6D,07/04/1989,SITIO GRANDE,FLUYENTE,,,141.52,139.636
SITIO GRANDE 6D,13/04/1990,SITIO GRANDE,FLUYENTE,,,152.016,147.3454
SITIO GRANDE 6D,18/05/1991,SITIO GRANDE,FLUYENTE,,,161.796,156.5128
SITIO GRANDE 6D,07/02/1992,SITIO GRANDE,FLUYENTE,,,170.252,174.564
SITIO GRANDE 6D,14/05/1992,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 6D,19/05/1992,SITIO GRANDE,FLUYENTE,,,163.452,157.4152
SITIO GRANDE 6D,20/06/1992,SITIO GRANDE,FLUYENTE,,,164.452,158.6504
SITIO GRANDE 6D,23/11/1992,SITIO GRANDE,FLUYENTE,,,161.752,153.912
SITIO GRANDE 6D,23/07/1993,SITIO GRANDE,FLUYENTE,,,166.632,161.2616
SITIO GRANDE 6D,16/08/1993,SITIO GRANDE,FLUYENTE,,,141.642,145.2876
SITIO GRANDE 6D,24/09/1993,SITIO GRANDE,FLUYENTE,,,132.512,133.8056
SITIO GRANDE 6D,05/10/1993,SITIO GRANDE,FLUYENTE,,,166.482,160.0532
SITIO GRANDE 6D,05/11/1993,SITIO GRANDE,FLUYENTE,,,167.912,165.3248
SITIO GRANDE 6D,06/12/1993,SITIO GRANDE,FLUYENTE,,,162.956,156.973
SITIO GRANDE 6D,27/01/1994,SITIO GRANDE,FLUYENTE,,,160.336,154.16
SITIO GRANDE 6D,08/02/1994,SITIO GRANDE,FLUYENTE,,,159.426,153.5202
SITIO GRANDE 6D,08/03/1994,SITIO GRANDE,FLUYENTE,,,163.086,158.0294
SITIO GRANDE 6D,13/04/1994,SITIO GRANDE,FLUYENTE,,,164.126,156.8692
SITIO GRANDE 6D,22/06/1994,SITIO GRANDE,FLUYENTE,,,158.356,153.0678
SITIO GRANDE 6D,10/08/1994,SITIO GRANDE,FLUYENTE,,,157.296,149.2672
SITIO GRANDE 6D,09/09/1994,SITIO GRANDE,FLUYENTE,,,162.076,159.4898
SITIO GRANDE 6D,20/10/1994,SITIO GRANDE,FLUYENTE,,,159.206,156.118
SITIO GRANDE 6D,14/11/1994,SITIO GRANDE,FLUYENTE,,,160.046,154.7964
SITIO GRANDE 6D,13/12/1994,SITIO GRANDE,FLUYENTE,,,157.106,151.2002
SITIO GRANDE 6D,14/01/1995,SITIO GRANDE,FLUYENTE,,,156.796,150.62
SITIO GRANDE 6D,07/06/1995,SITIO GRANDE,FLUYENTE,,,160.736,154.8305
SITIO GRANDE 6D,29/02/1996,SITIO GRANDE,FLUYENTE,,,156.406,150.8053
SITIO GRANDE 6D,11/03/1996,SITIO GRANDE,FLUYENTE,,,157.046,150.8044
SITIO GRANDE 6D,07/05/1996,SITIO GRANDE,FLUYENTE,,,156.344,153.8259
SITIO GRANDE 6D,05/06/1996,SITIO GRANDE,FLUYENTE,,,149.944,147.7984
SITIO GRANDE 6D,03/07/1996,SITIO GRANDE,FLUYENTE,,,158.016,153.5792
SITIO GRANDE 6D,12/09/1996,SITIO GRANDE,FLUYENTE,,,157.756,152.1912
SITIO GRANDE 6D,10/10/1996,SITIO GRANDE,FLUYENTE,,,157.116,150.7992
SITIO GRANDE 6D,04/11/1996,SITIO GRANDE,FLUYENTE,,,155.66,154.004
SITIO GRANDE 6D,11/12/1996,SITIO GRANDE,FLUYENTE,,,153.33,151.254
SITIO GRANDE 6D,03/03/1997,SITIO GRANDE,FLUYENTE,,,155.396,149.258
SITIO GRANDE 6D,05/02/1997,SITIO GRANDE,FLUYENTE,,,175.18,176.116
SITIO GRANDE 6D,03/03/1997,SITIO GRANDE,FLUYENTE,,,155.396,149.258
SITIO GRANDE 6D,10/07/1997,SITIO GRANDE,FLUYENTE,,,156.014,153.5704
SITIO GRANDE 6D,25/08/1997,SITIO GRANDE,FLUYENTE,,,153.24,151.512
SITIO GRANDE 6D,15/09/1997,SITIO GRANDE,FLUYENTE,,,154.114,152.4303
SITIO GRANDE 6D,06/10/1997,SITIO GRANDE,FLUYENTE,,,154.14,152.556
SITIO GRANDE 6D,05/11/1997,SITIO GRANDE,FLUYENTE,,,155.38,154.168
SITIO GRANDE 6D,05/02/1998,SITIO GRANDE,FLUYENTE,,,151.864,149.6439
SITIO GRANDE 6D,20/04/1998,SITIO GRANDE,FLUYENTE,,,154.784,153.3387
SITIO GRANDE 6D,07/05/1998,SITIO GRANDE,FLUYENTE,,,148.794,146.4547
SITIO GRANDE 6D,11/06/1998,SITIO GRANDE,FLUYENTE,,,146.504,144.6862
SITIO GRANDE 6D,02/09/1998,SITIO GRANDE,FLUYENTE,,,147.394,145.6507
SITIO GRANDE 6D,14/09/1998,SITIO GRANDE,FLUYENTE,,,217.466,222.8428
SITIO GRANDE 6D,19/10/1998,SITIO GRANDE,FLUYENTE,,,148.714,146.9707
SITIO GRANDE 6D,07/11/1998,SITIO GRANDE,FLUYENTE,,,147.214,145.724
SITIO GRANDE 6D,22/09/1999,SITIO GRANDE,FLUYENTE,,,146.394,144.7699
SITIO GRANDE 6D,06/06/2000,SITIO GRANDE,FLUYENTE,,,156.024,154.0572
SITIO GRANDE 6D,15/12/2000,SITIO GRANDE,FLUYENTE,,,149.844,148.7414
SITIO GRANDE 6D,06/03/2001,SITIO GRANDE,FLUYENTE,,,148.976,142.6514
SITIO GRANDE 6D,09/07/2001,SITIO GRANDE,FLUYENTE,,,149.906,148.748
SITIO GRANDE 6D,04/03/2002,SITIO GRANDE,FLUYENTE,,,150.076,146.795
SITIO GRANDE 6D,30/03/2003,SITIO GRANDE,CERRADO,311.89,311.72,,
SITIO GRANDE 6D,06/08/2003,SITIO GRANDE,CERRADO,303.676,322.0624,,
SITIO GRANDE 6D,20/03/2004,SITIO GRANDE,CERRADO,305.116,320.7442,,
SITIO GRANDE 6D,01/07/2004,SITIO GRANDE,CERRADO,307.406,324.8148,,
SITIO GRANDE 6D,08/03/2006,SITIO GRANDE,CERRADO,316.216,333.2386,,
SITIO GRANDE 6D,01/05/2006,SITIO GRANDE,CERRADO,247.72,248.68,,
SITIO GRANDE 6D,12/05/2008,SITIO GRANDE,CERRADO,339.746,339.7908,,
SITIO GRANDE 6D,12/02/2009,SITIO GRANDE,CERRADO,336.09,335.75025,,
SITIO GRANDE 7,30/01/1973,SITIO GRANDE,FLUYENTE,,,292.052,292.09925
SITIO GRANDE 7,26/08/1973,SITIO GRANDE,FLUYENTE,,,275.292,275.1165
SITIO GRANDE 7,29/10/1973,SITIO GRANDE,FLUYENTE,,,269.992,270.02905
SITIO GRANDE 7,12/02/1974,SITIO GRANDE,FLUYENTE,,,260.792,260.519
SITIO GRANDE 7,05/04/1974,SITIO GRANDE,FLUYENTE,,,254.992,254.753
SITIO GRANDE 7,31/12/1974,SITIO GRANDE,CERRADO,270.192,271.626,,
SITIO GRANDE 7,05/04/1975,SITIO GRANDE,CERRADO,318.792,319.3895,,
SITIO GRANDE 7,30/06/1975,SITIO GRANDE,CERRADO,332.292,337.55,,
SITIO GRANDE 7,30/08/1975,SITIO GRANDE,CERRADO,336.592,342.6865,,
SITIO GRANDE 7,01/10/1975,SITIO GRANDE,CERRADO,338.692,343.95,,
SITIO GRANDE 7,16/12/1975,SITIO GRANDE,CERRADO,333.432,346.8035,,
SITIO GRANDE 7,15/03/1976,SITIO GRANDE,FLUYENTE,,,221.092,220.4945
SITIO GRANDE 7,04/04/1976,SITIO GRANDE,FLUYENTE,,,254.132,253.8475
SITIO GRANDE 7,21/08/1976,SITIO GRANDE,FLUYENTE,,,254.832,255.2303
SITIO GRANDE 7,20/08/1978,SITIO GRANDE,CERRADO,342.864,353.8392,,
SITIO GRANDE 7,26/05/1980,SITIO GRANDE,CERRADO,313.608,320.3784,,
SITIO GRANDE 7,27/06/1983,SITIO GRANDE,CERRADO,421.4,425.2,,
SITIO GRANDE 7,20/06/1983,SITIO GRANDE,CERRADO,428.1,428.1,,
SITIO GRANDE 7,31/08/1983,SITIO GRANDE,CERRADO,436.3,436.3,,
SITIO GRANDE 7,09/12/1983,SITIO GRANDE,CERRADO,425.1,425.1,,
SITIO GRANDE 7,12/03/1984,SITIO GRANDE,CERRADO,437.4,437.4,,
SITIO GRANDE 7,28/04/1984,SITIO GRANDE,CERRADO,427.2,427.2,,
SITIO GRANDE 7,05/08/1984,SITIO GRANDE,CERRADO,397.8,397.8,,
SITIO GRANDE 7,04/11/1984,SITIO GRANDE,CERRADO,380.3,380.3,,
SITIO GRANDE 7,16/01/1985,SITIO GRANDE,CERRADO,372.2,372.2,,
SITIO GRANDE 7,07/03/1985,SITIO GRANDE,CERRADO,366.4,366.4,,
SITIO GRANDE 7,09/05/1985,SITIO GRANDE,CERRADO,360.5,360.5,,
SITIO GRANDE 7,16/07/1985,SITIO GRANDE,CERRADO,354.404,353.6408,,
SITIO GRANDE 7,26/07/1985,SITIO GRANDE,CERRADO,354.724,354.8626,,
SITIO GRANDE 7,24/08/1985,SITIO GRANDE,CERRADO,359.324,421.76,,
SITIO GRANDE 7,19/09/1985,SITIO GRANDE,CERRADO,362.184,362.184,,
SITIO GRANDE 7,05/11/1985,SITIO GRANDE,CERRADO,371.284,370.6168,,
SITIO GRANDE 7,25/01/1986,SITIO GRANDE,CERRADO,386.584,386.7091,,
SITIO GRANDE 7,28/03/1986,SITIO GRANDE,CERRADO,385.484,385.206,,
SITIO GRANDE 7,21/05/1986,SITIO GRANDE,CERRADO,396.484,398.1937,,
SITIO GRANDE 7,12/07/1986,SITIO GRANDE,CERRADO,399.284,399.8122,,
SITIO GRANDE 7,03/09/1986,SITIO GRANDE,CERRADO,404.984,404.7199,,
SITIO GRANDE 7,13/11/1986,SITIO GRANDE,CERRADO,415.584,416.1122,,
SITIO GRANDE 7,17/01/1987,SITIO GRANDE,CERRADO,420.444,421.8595,,
SITIO GRANDE 7,30/03/1987,SITIO GRANDE,CERRADO,420.644,420.793,,
SITIO GRANDE 7,26/05/1987,SITIO GRANDE,CERRADO,426.044,427.4595,,
SITIO GRANDE 7,12/07/1987,SITIO GRANDE,CERRADO,421.408,421.9792,,
SITIO GRANDE 7,11/09/1987,SITIO GRANDE,CERRADO,422.908,422.5888,,
SITIO GRANDE 7,08/11/1987,SITIO GRANDE,CERRADO,428.008,428.6464,,
SITIO GRANDE 7,05/01/1988,SITIO GRANDE,CERRADO,428.764,429.2203,,
SITIO GRANDE 7,24/05/1988,SITIO GRANDE,CERRADO,430.564,430.226,,
SITIO GRANDE 7,10/07/1988,SITIO GRANDE,CERRADO,433.3,433.3,,
SITIO GRANDE 7,05/09/1988,SITIO GRANDE,CERRADO,432.684,438.7444,,
SITIO GRANDE 7,25/11/1988,SITIO GRANDE,CERRADO,437.844,443.9679,,
SITIO GRANDE 7,11/02/1989,SITIO GRANDE,CERRADO,451.964,460.1605,,
SITIO GRANDE 7,18/05/1989,SITIO GRANDE,CERRADO,437.164,443.2142,,
SITIO GRANDE 7,13/08/1989,SITIO GRANDE,CERRADO,431.564,439.7605,,
SITIO GRANDE 7,05/12/1989,SITIO GRANDE,CERRADO,426.764,435.0788,,
SITIO GRANDE 7,18/02/1990,SITIO GRANDE,CERRADO,429.664,438.452,,
SITIO GRANDE 7,07/05/1990,SITIO GRANDE,CERRADO,434.164,442.0563,,
SITIO GRANDE 7,16/08/1990,SITIO GRANDE,CERRADO,437.064,445.4126,,
SITIO GRANDE 7,13/12/1990,SITIO GRANDE,CERRADO,436.664,444.1169,,
SITIO GRANDE 7,11/01/1991,SITIO GRANDE,CERRADO,437.464,444.8493,,
SITIO GRANDE 7,11/04/1991,SITIO GRANDE,CERRADO,434.264,441.6324,,
SITIO GRANDE 7,08/07/1991,SITIO GRANDE,CERRADO,428.364,436.5943,,
SITIO GRANDE 7,09/11/1991,SITIO GRANDE,CERRADO,428.464,435.9845,,
SITIO GRANDE 7,16/12/1991,SITIO GRANDE,CERRADO,420.764,427.4395,,
SITIO GRANDE 7,10/01/1992,SITIO GRANDE,CERRADO,430.864,438.6042,,
SITIO GRANDE 7,14/06/1992,SITIO GRANDE,CERRADO,430.564,438.3042,,
SITIO GRANDE 7,22/07/1992,SITIO GRANDE,CERRADO,432.564,440.338,,
SITIO GRANDE 7,15/12/1992,SITIO GRANDE,CERRADO,433.964,440.3353,,
SITIO GRANDE 7,24/07/1993,SITIO GRANDE,CERRADO,432.124,438.3939,,
SITIO GRANDE 7,15/09/1993,SITIO GRANDE,CERRADO,416.344,423.78,,
SITIO GRANDE 7,18/10/1993,SITIO GRANDE,CERRADO,406.644,415.1447,,
SITIO GRANDE 7,18/01/1994,SITIO GRANDE,CERRADO,391.282,391.282,,
SITIO GRANDE 7,27/01/1994,SITIO GRANDE,CERRADO,394.8,394.8,,
SITIO GRANDE 7,09/03/1994,SITIO GRANDE,CERRADO,379.224,387.4759,,
SITIO GRANDE 7,12/05/1994,SITIO GRANDE,CERRADO,382.014,389.3655,,
SITIO GRANDE 7,08/09/1994,SITIO GRANDE,CERRADO,409.794,416.1146,,
SITIO GRANDE 7,10/11/1994,SITIO GRANDE,CERRADO,412.94,412.94,,
SITIO GRANDE 7,08/04/1995,SITIO GRANDE,SIN REGISTRO,,,,
SITIO GRANDE 7,22/04/1995,SITIO GRANDE,CERRADO,154.12,154.12,,
SITIO GRANDE 7,26/04/1995,SITIO GRANDE,CERRADO,63.72,63.148,,
SITIO GRANDE 7,04/05/1995,SITIO GRANDE,CERRADO,72.718,72.847,,
SITIO GRANDE 7,29/07/1995,SITIO GRANDE,CERRADO,107.362,108.025,,
SITIO GRANDE 7,10/09/1995,SITIO GRANDE,CERRADO,170.624,170.5881,,
SITIO GRANDE 7,29/09/1995,SITIO GRANDE,CERRADO,169.63,169.63,,
SITIO GRANDE 7,29/11/1995,SITIO GRANDE,CERRADO,162.7,162.7,,
SITIO GRANDE 7,01/12/1995,SITIO GRANDE,CERRADO,108.99,108.99,,
SITIO GRANDE 7,24/07/1996,SITIO GRANDE,CERRADO,155.18,155.18,,
SITIO GRANDE 7,23/01/1997,SITIO GRANDE,CERRADO,187.71,187.71,,
SITIO GRANDE 7,22/05/1997,SITIO GRANDE,CERRADO,203.79,203.79,,
SITIO GRANDE 8,05/07/1973,SITIO GRANDE,CERRADO,210.16,217.8325,,
SITIO GRANDE 8,23/08/1973,SITIO GRANDE,CERRADO,376.88,380.358,,
SITIO GRANDE 8,24/11/1973,SITIO GRANDE,CERRADO,378.58,382.65,,
